,operator,operatorLabel,C1,C2,C3,C4,C5,C6,C7,H1,H2,H3,H4,H5,H6,H7,H8,einspeisetarif
508,CHE-102.258.998,Elektrizitätsgenossenschaft Saas-Balen (EGB),27.458875,26.593766666666667,25.99333333333333,25.7844,,,,32.3825,30.194,27.40822222222222,28.47044444444445,26.495866666666668,26.07936,27.06230769230769,27.3294,10.76
509,CHE-113.525.494,"Gemeinde Saas-Fee, Elektrizitätsversorgung",33.433,33.50386666666667,32.172666666666665,30.9572,,,,36.085,34.33,31.21622222222222,32.943333333333335,30.739066666666663,27.84872,30.77430769230769,32.714533333333335,15.7
510,CHE-112.550.070,"Gemeinde Saas Almagell, Stromversorgung",31.9871875,31.86075,37.685,32.299,,,,37.2775,35.032,31.546666666666667,33.343333333333334,30.924,28.3102,30.806153846153848,32.5445,9.34
511,CHE-103.926.785,Genossenschaft Elektrizitätsversorgung Saas-Grund,28.33,29.04865,28.309,27.7478,,,,29.38,28.624,27.96,28.91333333333333,27.528,25.9544,27.41230769230769,28.454,14.9
512,CHE-112.125.784,EVWR Energiedienste Visp - Westlich Raron AG,25.275,24.75,25.46733333333333,25.2143,,,,30.025,27.97,25.942222222222224,26.526444444444444,25.151066666666665,25.61396,25.798615384615385,25.728466666666662,19.17
513,CHE-112.799.468,"Gemeinde Stalden, Elektrizitätsversorgung",24.355,23.782,24.508,24.4912,,,,29.2725,27.138,25.27133333333333,25.45711111111111,24.408933333333337,25.21544,24.99092307692308,24.6268,10.66
514,CHE-112.579.085,"Gemeinde Täsch, Elektrizitätsversorgung",19.272,18.692833333333333,18.393,18.0682,,,,22.6034375,21.0278,19.298111111111112,19.80688888888889,18.738533333333333,18.08788,18.73553846153846,19.2103,8.33
515,CHE-112.577.181,"Gemeinde Törbel, Elektrizitätsversorgung",24.8875,24.2,25.801666666666662,25.0546,,,,28.6375,26.95,23.935777777777776,25.616666666666667,23.37213333333333,21.64164,23.175538461538466,24.313566666666667,9
516,CHE-102.485.991,EWZ Elektrizitätswerk Zermatt AG,18.25,20.259366666666665,16.058,15.3996,,,,24.25,21.55,19.416666666666668,19.416666666666668,17.665066666666668,14.88952,17.673076923076923,18.35,8
517,CHE-114.921.349,"Commune de Develier, service éléctrique",32.81621354166667,30.98954722222222,26.02855,25.413535,,24.78654,24.447568476444445,40.35,35.8588,29.40155555555556,32.806555555555555,28.02319333333333,23.278958,26.398226923076923,31.315113888888888,13
518,CHE-108.955.185,Services industriels de Genève,30.008566666666667,29.681201666666663,28.209515555555555,26.74688,0.0,23.385397222222224,21.66021506888889,29.304076785714287,28.93364,25.91128,28.60866857142857,26.10261714285714,23.323357142857144,25.942656153846155,28.61086857142857,12.95
519,CHE-112.591.057,"Commune de Courchapoix, electricite",35.023347916666665,33.52222555555556,31.27362777777778,30.038211666666665,,,,40.4975,37.73,32.72048888888889,35.19848888888889,32.446553333333334,27.835966,30.622396153846157,33.946532222222224,13
520,CHE-108.956.641,Services industriels de Delémont,28.81,27.93,28.177577777777778,27.06952666666667,,23.60514,22.82134646755556,33.61,31.45,28.73915555555556,29.74333333333333,26.681,22.2983,25.13980769230769,29.74181555555555,13
521,CHE-116.402.439,Technische Betriebe Glarus Nord (TBGN),33.175,32.3252,28.85933333333333,28.076466666666665,22.15213333333333,21.76048888888889,20.35921687333333,36.06071428571428,34.08657142857143,31.58142857142857,32.639714285714284,30.977542857142858,29.208262857142856,30.808857142857143,31.89342857142857,13
522,CHE-112.610.097,"Einwohnergemeinde Kallnach, Stromversorgung",29.217447916666668,28.49430555555556,28.075333333333333,27.4224,,,,32.3,30.85,28.80555555555556,29.55555555555556,28.24833333333333,26.48294,28.248730769230768,28.915972222222223,21.83
523,CHE-108.963.782,"Commune Mixte de Lamboing, Service Electricité",34.9662,33.50722666666667,,,,,,39.88,37.69384,32.6492,35.196133333333336,31.67484,28.171452,31.4331,33.97074666666666,14.84
524,CHE-112.557.770,"Gemeinde Safiental, Stromversorgung",21.9,19.7,19.06,18.948,22.198,,,33.9,28.5,24.23333333333333,24.23333333333333,22.1,19.86,20.746153846153845,22.1,6.7
525,CHE-106.887.271,Cooperativa Elettrica di Faido (CEF),26.73625,25.786666666666665,27.914666666666665,26.9816,25.9816,25.754666666666665,,31.705,29.32,27.970666666666663,28.024444444444445,26.713066666666663,24.62792,26.068153846153844,26.846666666666668,7.4
526,CHE-174.753.334,"Gemeinde Surses, Elektrizitätsversorgung",25.15,24.05,23.73,23.674,23.2356,23.2653,22.29833136,31.15,28.45,26.316666666666663,26.316666666666663,25.2492,24.13,24.57307692307692,25.25,8
527,CHE-444.636.464,Werke Horgen,37.165625,36.2442,37.345333333333336,36.21926666666667,34.08786666666666,33.470444444444446,32.201365106666664,40.07752976190476,37.950857142857146,35.128253968253965,36.40701587301587,34.50078095238095,32.470234285714284,34.361824175824175,35.60747619047619,21.8
528,CHE-151.808.792,EW Lindau AG,33.73046875,33.05135,34.3,33.626,28.65462,,,37.01558779761905,35.37542857142857,33.85301587301587,34.10656349206349,33.24722380952381,32.33916714285714,32.914181318681315,33.46665476190476,18.5
529,CHE-114.770.464,"Service de l'Electricité, Municipalité de Moutier",33.54515833333333,30.49311055555556,29.562833333333337,26.28792333333333,,25.07046,,37.85,35.42,30.873244444444445,33.77724444444444,29.532226666666663,24.980668,28.99174615384615,32.28552444444444,13
530,CHE-108.962.707,"Commune de Paudex, Electricité",32.075,31.47,30.834711111111112,29.519213333333333,,,,35.375,33.89,28.74755555555556,31.65406984126984,28.174613333333333,24.412384,28.294936263736265,28.475796825396824,20.1
531,CHE-999.999.444,Werke am Zürichsee AG (Küsnacht),36.225,35.13441666666667,33.506,32.405,,,,39.08891369047619,36.535714285714285,32.964285714285715,34.671031746031744,32.22690476190476,29.61807142857143,32.08626373626374,33.71170634920635,16.98
532,CHE-999.999.596,Werke am Zürichsee AG (Zollikon),35.875,34.78678333333333,34.184,33.0473,,,,38.79858630952381,36.248285714285714,32.715714285714284,34.38230158730159,31.97309523809524,29.40192857142857,31.821428571428573,33.42296031746032,16.98
533,CHE-264.518.200,Monthey Energies SA,29.21,28.66,31.80893333333333,29.24792,,26.75153333333333,24.725153224,32.21,30.86,27.680666666666667,29.793333333333333,26.4592,22.79876,27.421307692307693,29.26,15.74
